repo_id,repo_name,repo_full_name,industry_code,industry_name,confidence,reasoning
676317015,shadcn-ui-customizer,Railly/shadcn-ui-customizer,J,Information and communication,high,"The repository is a UI theme customizer for shadcn/ui, a UI component library. It serves as a tool for front-end development and theming, which is part of software development and digital communication technologies. It is a general-purpose UI customization tool without a specific industry domain focus, making Information and communication the most appropriate classification."
579221405,one-hunter-vscode,Railly/one-hunter-vscode,J,Information and communication,high,"The repository is a Visual Studio Code theme, which is a software development tool enhancement. It serves developers and users of the VSCode editor, placing it squarely in the Information and communication industry, which covers software development tools and related technologies."
97191843,greenter,thegreenter/greenter,G,Wholesale and retail trade,high,"The repository 'greenter' is a PHP library designed to implement electronic invoicing compliant with SUNAT regulations in Peru. Electronic invoicing is primarily used in commercial transactions for billing customers, which is a core activity in wholesale and retail trade. The software facilitates generating, signing, sending, and processing electronic invoices, which directly supports business operations in trade sectors."
158463165,EEwPython,csaybar/EEwPython,A,"Agriculture, forestry and fishing",high,"The repository focuses on learning and applying Google Earth Engine with Python, including applications such as crop area estimation using deep neural networks and climate change analysis. These use cases strongly relate to agriculture and environmental monitoring, which are core aspects of the Agriculture, forestry and fishing industry."
422972530,Special_Configurations,mriscoc/Special_Configurations,C,Manufacturing,high,"The repository provides configuration files and firmware for 3D printers (Ender3 V2/S1), which are manufacturing equipment used for prototyping and production. The software directly supports the operation and customization of manufacturing hardware, making it clearly aligned with the manufacturing industry."
178786990,video-keyframe-detector,joelibaceta/video-keyframe-detector,J,Information and communication,high,"The repository is a Python tool for extracting key frames from videos using computer vision techniques. It serves as a general-purpose utility for video analysis, which is most relevant to the Information and communication industry that encompasses software development, multimedia processing, and digital communication technologies."
66734137,Books,carlosal1015/Books,P,Education,high,"The repository is focused on Math & Physics books, which are educational materials. This indicates the project serves the education industry by providing learning resources."
68678146,Ubigeo-Peru,ernestorivero/Ubigeo-Peru,O,Public administration and defense,high,"The repository provides an updated database of Peruvian administrative divisions (departments, provinces, districts) which is essential for government, public administration, and related services. Such geographic and administrative data is primarily used in public administration for planning, governance, and statistical purposes."
406619665,lima-xbar-plugin,unixorn/lima-xbar-plugin,J,Information and communication,high,"The repository is a plugin for xbar/Swiftbar to control lima-vm, a tool that serves as an alternative to Docker Desktop on Mac. It is a developer utility related to virtualization and container management, which falls under software development and IT infrastructure tools. Such tools are best classified under Information and communication."
780548406,Sparrow-Extended-GUI-for-RIGOL-DHO800_DHO900,mriscoc/Sparrow-Extended-GUI-for-RIGOL-DHO800_DHO900,M,"Professional, scientific activities",high,"The repository is a customized GUI project for Rigol oscilloscopes, which are scientific measurement instruments used primarily in engineering, research, and professional scientific environments. This software enhances the user interface of scientific equipment, making it most relevant to the professional and scientific activities industry."
755725134,floresamarillasycorazones,mabelolivera10/floresamarillasycorazones,J,Information and communication,medium,"The repository lacks a clear description or specific functionality, and the README is a personal introduction without project details. The primary language is CSS, suggesting a web-related project, but no concrete application is evident. Given the generic nature and absence of domain-specific indicators, it is classified under Information and communication as a general-purpose or personal web project."
110887121,peru-consult,giansalex/peru-consult,O,Public administration and defense,high,"The repository provides free consultation services for Peruvian national identification documents (DNI) and taxpayer registry codes (RUC), which are official government-issued identifiers managed by public institutions like RENIEC and SUNAT. This functionality is closely related to public administration services, as it facilitates access to government data for identity and tax verification."
725207029,mabelolivera10,mabelolivera10/mabelolivera10,J,Information and communication,high,"The repository contains configuration files for a GitHub profile, which is related to software development and personal branding within the tech community. It is a general-purpose tool supporting information sharing and communication in software development, fitting best under Information and communication."
361470066,ee-fastapi,csaybar/ee-fastapi,E,Water supply; sewerage,high,"The repository is focused on flood detection using satellite data and terrain models, which directly relates to water management and monitoring. Flood detection is critical for water supply infrastructure, sewerage systems, and overall water resource management. Therefore, the software serves the water supply and sewerage industry."
114035187,peru-consult-api,giansalex/peru-consult-api,O,Public administration and defense,high,"The repository provides an API to consult DNI and RUC data in Peru, which are official government-issued identification numbers for individuals and companies. It integrates with RENIEC and SUNAT, which are Peruvian government agencies responsible for civil registry and tax administration respectively. This indicates the software serves public administration functions related to identity and business verification."
436411126,ninerogues_ecommerce,apholdings/ninerogues_ecommerce,G,Wholesale and retail trade,high,"The repository name 'ninerogues_ecommerce' strongly suggests it is related to e-commerce, which is directly associated with wholesale and retail trade. Despite the lack of description and README, the term 'ecommerce' clearly indicates its application in retail industry."
8245119,limajs.org,lima-js/limajs.org,J,Information and communication,high,"The repository is for LimaJS, a JavaScript user community in Lima, Peru, focused on organizing meetups, workshops, and sharing knowledge about JavaScript and related technologies. It serves as a platform for communication and information exchange within the software development community, which aligns with the Information and communication industry."
102764396,barcoding,PacificBiosciences/barcoding,M,"Professional, scientific activities",high,"The repository 'barcoding' is focused on demultiplexing barcoded PacBio samples, which is a specialized bioinformatics task related to processing sequencing data. This type of software is primarily used in scientific research, particularly in genomics and molecular biology, aligning it with professional and scientific activities."
442597030,RestCsharp,Franklin369/RestCsharp,I,Accommodation and food services,high,"The repository is a system specifically designed for restaurants with electronic invoicing features. It targets the restaurant industry, which falls under accommodation and food services. The description, topics, and screenshots confirm its application in managing restaurant operations and billing."
445901199,buildkit-machine,developer-guy/buildkit-machine,J,Information and communication,high,"The repository is a developer tool that enables accessibility of the buildkitd daemon on macOS, facilitating container image building and pushing. It is a DevOps-related utility primarily serving software development and IT infrastructure, which falls under Information and communication."
581597295,Desarrollo-Web-FullStack-con-Django-y-React,apholdings/Desarrollo-Web-FullStack-con-Django-y-React,J,Information and communication,medium,"The repository named 'Desarrollo-Web-FullStack-con-Django-y-React' suggests it is a full-stack web development project using Django and React. Without a description or README, it appears to be a general-purpose web development project likely related to information and communication technology rather than a specific industry application."
34996559,PECI-Java-MAR-2015,gcoronelc/PECI-Java-MAR-2015,P,Education,high,"The repository is explicitly described as a course repository for a Java class held in March 2015, containing course materials and tutorials. Its primary purpose is educational, serving learners and instructors in programming education."
753678000,quieressermisanvalentin,mabelolivera10/quieressermisanvalentin,J,Information and communication,medium,"The repository lacks a clear description or specific functionality, and the README mainly contains a personal introduction and contact information. The project appears to be a personal or portfolio-related repository without a defined industry-specific application. Therefore, it is classified under Information and communication as a general-purpose or personal project."
345434096,ubigeo-peru-aumentado,jmcastagnetto/ubigeo-peru-aumentado,O,Public administration and defense,high,"The repository provides equivalence data between official geographic coding systems (UBIGEO codes from RENIEC and INEI) used in Peru, along with geographic and demographic information. These datasets are primarily relevant for government agencies, public administration, and institutions involved in regional planning, census, and public policy. Hence, it best fits the Public administration and defense category."
247552256,covid-19-peru-data,jmcastagnetto/covid-19-peru-data,Q,Human health and social work,high,"The repository collects and publishes COVID-19 related health data for Peru, including confirmed cases, recoveries, and deaths. This data supports public health monitoring and research, directly serving the healthcare and social work sector."
640401957,spotigen-chat-gpt-plugin,Railly/spotigen-chat-gpt-plugin,R,"Arts, entertainment and recreation",high,"The repository is a ChatGPT plugin that generates Spotify playlists based on user prompts, directly serving the music streaming and entertainment domain. Its primary application is enhancing user experience in music discovery and playlist creation, which aligns with the arts and entertainment industry."
204566443,top-coders-peru,joelibaceta/top-coders-peru,J,Information and communication,high,"The repository is a web-based ranking platform for Peruvian developers based on GitHub statistics. It provides information services related to software development and developer community metrics, which aligns with the Information and communication industry. The project is not tied to a specific sector like education or professional services but serves as an informational tool within the tech community."
235724143,EarthEngineMasterGIS,csaybar/EarthEngineMasterGIS,M,"Professional, scientific activities",high,"The repository is a course and toolset focused on using Google Earth Engine for processing large spatial datasets, primarily for remote sensing and GIS professionals. It targets scientific and professional activities related to geospatial data analysis rather than a specific commercial industry. The content is educational but specialized in scientific data processing, fitting well within professional and scientific activities."
529100041,cursohtmlcss,Franklin369/cursohtmlcss,J,Information and communication,medium,"The repository named 'cursohtmlcss' with primary language CSS and minimal description suggests it is a source code related to HTML/CSS, likely educational or tutorial content. Without specific domain application or README, it appears to be a general-purpose web development resource, best classified under Information and communication."
35675660,ubigeos-peru,joseluisq/ubigeos-peru,O,Public administration and defense,high,"The repository provides structured geographic data (departments, provinces, districts) of Peru, which is typically used in public administration for governance, planning, and management of territorial divisions. Such data is essential for government-related applications, making 'Public administration and defense' the most appropriate industry classification."
742194229,salvalentin,mabelolivera10/salvalentin,J,Information and communication,medium,The repository is a personal portfolio or profile page with no specific application or industry focus. It is primarily HTML with no description or topics indicating a particular industry. Such generic personal or developer portfolio projects typically fall under Information and communication.
122437739,mdEditor,mriscoc/mdEditor,J,Information and communication,high,"The repository is a basic Markdown editor with syntax highlighting, which is a general-purpose software tool primarily related to content creation and editing. Such tools fall under the Information and communication industry as they support information processing and communication activities."
722878569,webcam-fixed-terminal,joelibaceta/webcam-fixed-terminal,J,Information and communication,medium,"The repository is a Python project focused on creating a multi-terminal experience involving webcam and ASCII art in the terminal. This suggests a tool or utility related to software development, communication, or multimedia display rather than a domain-specific application. Since it is a general-purpose terminal/webcam utility without clear ties to a specific industry, it fits best under Information and communication."
228061696,Template_StartUi,Anders87x/Template_StartUi,J,Information and communication,medium,"The repository named 'Template_StartUi' with primary language HTML and minimal description suggests it is a general-purpose UI template. Without specific domain context or targeted functionality, it is most likely a generic web UI template useful in information and communication technology projects."
541621052,javascriptintensivo,Franklin369/javascriptintensivo,P,Education,medium,"The repository name 'javascriptintensivo' and description 'curso' indicate it is a course related to JavaScript, which aligns with educational purposes. Despite minimal information and lack of README, the primary intent appears to be teaching or learning, fitting the Education industry."
637420785,Curso_Inteligencia_Artificial_Ejercicios_Basicos,apholdings/Curso_Inteligencia_Artificial_Ejercicios_Basicos,P,Education,high,"The repository contains basic exercises for an artificial intelligence course, indicating it is educational material designed for teaching and learning purposes."
444161304,PuntoDeVenta_ada369,Franklin369/PuntoDeVenta_ada369,G,Wholesale and retail trade,high,"The repository is a point of sale (Punto de Venta) system with electronic invoicing functionality, designed for managing sales transactions and billing. Such software is primarily used in retail and wholesale trade environments to facilitate sales, inventory, and invoicing processes."
391661404,Django-Red-Social,apholdings/Django-Red-Social,J,Information and communication,low,"The repository named 'Django-Red-Social' suggests a social network project built with Django and HTML, but lacks description, topics, or README details. Given the absence of specific domain information and the general nature of social networking software, it is classified under Information and communication with low confidence."
628425629,034_CursoSistemaVentaEscritorio,CodigoEstudiante/034_CursoSistemaVentaEscritorio,G,Wholesale and retail trade,medium,"The repository name includes 'SistemaVentaEscritorio' which translates to 'Desktop Sales System' in English, indicating it is likely a sales or point-of-sale system. Such software is primarily used in wholesale and retail trade industries to manage sales transactions."
193291271,peruanos.github.io,peruanosdev/peruanos.github.io,J,Information and communication,high,"The repository is a directory of technology communities in Peru, serving as an information and communication platform to connect developers and tech communities. It is not specific to other industries but focuses on tech community networking and information sharing."
449596252,Ender3S1-Standard,mriscoc/Ender3S1-Standard,C,Manufacturing,high,"The repository is firmware for the Ender 3S1 3D printer, which is a manufacturing device used for additive manufacturing processes. Firmware directly controls the hardware of the 3D printer, which is a manufacturing tool, making the software clearly aligned with the manufacturing industry."
164905274,DLcoursera,csaybar/DLcoursera,P,Education,high,"The repository contains programming assignments and notebooks for the Coursera Deep Learning Specialization, which is an educational course designed to teach deep learning concepts. Its primary purpose is to support learning and teaching, making it clearly aligned with the education industry."
237139466,rgee-examples,csaybar/rgee-examples,M,"Professional, scientific activities",high,"The repository provides extensive examples for using Google Earth Engine in R, which is a tool primarily used for geospatial analysis and scientific research. The examples support professional and scientific activities such as environmental monitoring, remote sensing, and spatial data analysis, aligning well with the 'Professional, scientific activities' industry."
626047576,098_SistemaVentaBlazor,CodigoEstudiante/098_SistemaVentaBlazor,G,Wholesale and retail trade,high,"The repository is named 'SistemaVentaBlazor' and described as a sales system developed with Blazor and ASP.NET 7. This strongly indicates it is a sales or point-of-sale system, which is directly related to wholesale and retail trade industry."
519604338,blog-avanzado-drf-react,apholdings/blog-avanzado-drf-react,J,Information and communication,medium,"The repository named 'blog-avanzado-drf-react' suggests a web development project involving Django REST Framework (DRF) and React, likely for building a blog or content management system. It is a general-purpose web application framework suitable for information sharing and communication, without specific ties to other industries."
30573803,databases,gcoronelc/databases,P,Education,high,"The repository contains example databases used for programming courses, specifically for teaching SQL Server and Oracle. It is explicitly stated that these databases are used in programming courses, indicating an educational purpose."
1043468515,hack0,crafter-station/hack0,J,Information and communication,high,"The repository is focused on hackathons and tech events in Peru, which primarily involves information sharing and communication within the tech community. It serves as a platform to disseminate event information, making it best classified under Information and communication."
26753569,dotfiles,luismayta/dotfiles,J,Information and communication,high,"The repository contains dotfiles and configuration scripts primarily for Unix-like operating systems, which are general-purpose tools used by developers and IT professionals. It is a utility project related to software development environments and system configuration, fitting best under Information and communication."
131431796,xhandler-java,project-openubl/xhandler-java,K,Financial and insurance activities,high,"The repository is a Java library specifically designed to facilitate electronic invoicing (facturación electrónica) integration with SUNAT, the Peruvian tax authority. It handles creation, signing, and sending of electronic payment vouchers such as invoices, credit notes, and debit notes. These functionalities are directly related to financial transactions, billing, and tax compliance, which are core aspects of the financial and insurance industry."
635396417,curso_microservicios_backend,apholdings/curso_microservicios_backend,P,Education,high,"The repository is a course on microservices using Django REST framework and NextJS, indicating its primary purpose is educational. It serves the education industry by providing learning materials and practical examples for software development."
466339915,ee-cptcity,ambarja/ee-cptcity,M,"Professional, scientific activities",high,"The repository provides a specialized module for Google Earth Engine to access and use multiple color palettes related to cartography and geospatial data visualization. It serves professionals and scientists working with geographic information systems (GIS) and remote sensing data, which aligns with professional and scientific activities rather than general IT or communication."
84482669,android-modular-apps,emedinaa/android-modular-apps,J,Information and communication,high,"The repository is focused on building modular Android applications, demonstrating software architecture and development practices. It serves as a general-purpose example for app development rather than targeting a specific industry vertical. Therefore, it fits best in the Information and communication industry category."
323677367,Tutorial_HelpDesk,Anders87x/Tutorial_HelpDesk,N,Administrative and support activities,medium,"The repository is named 'Tutorial_HelpDesk' and described as a personal help desk tutorial, indicating it is related to help desk or support services. Help desk systems typically fall under administrative and support activities, as they provide customer or internal support functions. The lack of detailed README content limits confidence, but the help desk context aligns best with industry N."
2616883,rubyperu.github.com,rubyperu/rubyperu.github.com,J,Information and communication,high,"The repository is a community website for Ruby Peru, built with Jekyll and hosted on GitHub Pages. It serves as an information and communication platform for the Ruby programming community in Peru, which aligns with the Information and communication industry."
420546301,mapsPERU,musajajorge/mapsPERU,M,"Professional, scientific activities",high,"The repository provides geographic datasets and mapping tools specific to Peru's administrative divisions, which are primarily useful for scientific, professional, and research activities involving geographic data analysis, spatial statistics, and regional planning. It is not tied to a commercial or public service industry but serves as a specialized data resource for professional and scientific use."
41072131,android-mvp,emedinaa/android-mvp,J,Information and communication,high,"The repository is an example implementation of the MVP design pattern for Android apps, which is a general software development pattern. It serves as a technical example or educational resource for Android developers, without targeting a specific industry domain. Therefore, it fits best under Information and communication as a general-purpose software development project."
767140641,corazonconbolitas,mabelolivera10/corazonconbolitas,J,Information and communication,low,"The repository lacks a description and specific functionality, contains only CSS code, and primarily serves as a personal or portfolio project. Without clear application or industry-specific features, it is best classified as a general-purpose information and communication project."
755724483,cartaprogramadores,mabelolivera10/cartaprogramadores,J,Information and communication,medium,"The repository lacks a specific description or clear application but is related to programming and software development skills. The README focuses on the author's programming knowledge and collaboration interests without indicating a particular industry application. Given the general nature and programming focus, it fits best under Information and communication."
288860060,math-experiments,emedinaa/math-experiments,P,Education,medium,"The repository is a collection of math experiments implemented in Kotlin, focusing on mathematical concepts like Bezier curves and isometric projections, which are educational in nature. It serves as a learning or teaching aid for math and programming concepts, making it most relevant to the education industry."
598272061,proyectos-html-css-1-al-5,Franklin369/proyectos-html-css-1-al-5,P,Education,high,"The repository contains HTML and CSS projects intended for learning purposes, as indicated by the mention of a tutorial and course. It is clearly aimed at educational use for teaching web development skills."
269868817,Tutorial_MesaDePartes,Anders87x/Tutorial_MesaDePartes,O,Public administration and defense,medium,"The term 'Mesa de Partes' refers to an official document reception system commonly used in public administration in some countries. Given the repository name and tutorial nature, it likely relates to software for managing administrative document submissions in government or public sector offices."
260477860,xhandler-rust,project-openubl/xhandler-rust,O,Public administration and defense,high,"The repository manages XML documents based on UBL and SUNAT standards related to electronic invoicing, which are specific to Peruvian tax authority regulations. This strongly indicates its use in government-related public administration processes, particularly in tax and compliance systems."
252223135,ublhub,project-openubl/ublhub,K,Financial and insurance activities,high,"The repository focuses on electronic invoicing (facturación electrónica) for Peru, specifically creating and sending XML invoices to SUNAT, the Peruvian tax authority. This functionality is directly related to financial transactions, billing, and compliance, which are core aspects of the financial and insurance industry."
559032492,reactintensivo,Franklin369/reactintensivo,J,Information and communication,medium,"The repository named 'reactintensivo' with description 'React' and primary language JavaScript suggests it is related to React development, which is a general-purpose front-end web technology. There is no specific domain or industry focus indicated, and no README or topics to clarify its application. Therefore, it is classified under Information and communication as a generic software development project."
775276158,geocodificacion-con-python,geografope/geocodificacion-con-python,M,"Professional, scientific activities",high,"The repository provides a Python script for geocoding and spatial data processing, which is a scientific and professional activity related to geography and geospatial analysis. It is not tied to a specific commercial industry but serves scientific, research, and professional use cases in geospatial data handling."
782623542,118_SistemaPrestamo_Net8_ADO.NET_NCapas,CodigoEstudiante/118_SistemaPrestamo_Net8_ADO.NET_NCapas,K,Financial and insurance activities,medium,"The repository name '118_SistemaPrestamo_Net8_ADO.NET_NCapas' suggests it is a loan system ('SistemaPrestamo'), which is typically related to financial services. Despite the lack of description and README, the term 'Prestamo' (loan) strongly indicates an application in the financial sector."
489803899,CTIC-CIENCIA-DE-DATOS-MOD-01-2022A,gcoronelc/CTIC-CIENCIA-DE-DATOS-MOD-01-2022A,P,Education,high,"The repository is a practical workshop on data science fundamentals conducted at an educational institution (CTIC - UNI). It is clearly designed for teaching and learning purposes, fitting squarely into the education industry."
721326350,Flores-azules,mabelolivera10/Flores-azules,J,Information and communication,low,"The repository lacks a description and clear functionality, primarily containing CSS code and personal information about the author. Without specific application details, it appears to be a general-purpose or personal project related to software development or web design, which aligns best with the Information and communication industry."
739130198,iloveyou,mabelolivera10/iloveyou,J,Information and communication,high,"The repository lacks a description and specific functionality details, and the README is a personal introduction without project details. Given the absence of clear domain-specific application and the general nature of the repository, it is best classified under Information and communication as a generic or personal project."
606237417,uridium-protocol,apholdings/uridium-protocol,K,Financial and insurance activities,high,"The repository is primarily a decentralized finance (DeFi) protocol involving smart contracts, stablecoins, and DAO governance tokens, which are core components of financial services. Although it integrates online education and gaming elements, the main application revolves around financial transactions and asset exchange in a decentralized economy, aligning it closely with the financial industry."
912371507,ESA-zar-zip-decision,csaybar/ESA-zar-zip-decision,M,"Professional, scientific activities",high,"The repository discusses file formats for Sentinel-2 satellite data, which is used in Earth observation and remote sensing. This domain is strongly linked to scientific research and professional activities involving geospatial data processing and analysis. The focus on data formats for efficient cloud-based dissemination of satellite imagery aligns with scientific and professional use rather than general IT or communication."
38492638,emacs.d,luismayta/emacs.d,J,Information and communication,high,"The repository is an Emacs configuration (emacs.d) which is a tool for software development and text editing. It is a general-purpose software tool used primarily in the information technology and communication sector. It does not target a specific industry vertical but serves developers and IT professionals, fitting well within the Information and communication industry."
228056650,Template_Nifty,Anders87x/Template_Nifty,J,Information and communication,low,"The repository is a generic HTML template named 'Template_Nifty' with no specific industry focus or topics. It appears to be a general-purpose web template, which aligns best with the Information and communication category as a default classification for generic or utility web projects."
847413443,geoidep,ambarja/geoidep,M,"Professional, scientific activities",high,"The repository geoidep provides tools to access official geographic and spatial data from Peru's Spatial Data Infrastructure, covering topics like society, transport, environment, agriculture, and climate. This type of data access and analysis is primarily used in professional and scientific contexts such as research, environmental studies, urban planning, and related consulting activities. Therefore, it best fits the 'Professional, scientific activities' industry category."
629799569,028_SistemaHotelEnMVC,CodigoEstudiante/028_SistemaHotelEnMVC,I,Accommodation and food services,medium,"The repository name '028_SistemaHotelEnMVC' suggests it is a hotel management system built using the MVC pattern. Despite the lack of description and README, the term 'Hotel' strongly indicates its application in the accommodation sector, which falls under 'Accommodation and food services'."
355968450,PERSONAL_CRUD2,Anders87x/PERSONAL_CRUD2,J,Information and communication,high,"The repository is a tutorial for CRUD operations using PHP, MySQL, and JavaScript with MVC architecture, which is a general-purpose web development example. It does not target any specific industry but rather serves as an educational or informational resource related to software development, fitting best under Information and communication."
488532888,rgee3D,ambarja/rgee3D,M,"Professional, scientific activities",high,"The repository provides a reproducible script for 3D visualization integrating spatial data tools in R, which is primarily useful for scientific analysis, spatial data visualization, and research purposes. It targets professionals working with geospatial data and scientific visualization, fitting well within professional and scientific activities."
768715910,diadelamujer,mabelolivera10/diadelamujer,J,Information and communication,medium,"The repository lacks a description and specific functionality details. The README is a personal introduction without project details. The repository name 'diadelamujer' suggests a thematic or event-related project, but no concrete application or industry focus is evident. Given the use of JavaScript and absence of domain-specific indicators, it is classified as Information and communication, which covers general software and communication tools."
641489139,Ciencia_de_Datos_con_Python,apholdings/Ciencia_de_Datos_con_Python,P,Education,high,"The repository is a course designed to teach data science using Python, covering fundamentals and machine learning concepts. Its primary purpose is educational, aimed at learners acquiring skills in data science, which clearly aligns with the Education industry."
769739740,116_SistemaClinica_Net8_ADO.NET_NCapas,CodigoEstudiante/116_SistemaClinica_Net8_ADO.NET_NCapas,Q,Human health and social work,medium,"The repository name includes 'SistemaClinica', which suggests it is a clinical or healthcare system. Despite the lack of description and README, the name strongly implies an application related to clinical or medical management, which fits the Human health and social work industry."
745202526,obsidian-simple-flashcards,Railly/obsidian-simple-flashcards,P,Education,high,"The repository is a plugin for creating interactive flashcards with spaced repetition, a well-known educational technique for learning and memory retention. Its primary application is to facilitate knowledge acquisition and study, which directly serves the education industry."
466593526,website,Railly/website,J,Information and communication,high,"The repository is a personal website or portfolio built with Next.js and React, which falls under web development and digital communication. It serves as an information and communication tool rather than a specialized industry application."
810902897,happybirthday-papel-picado,mabelolivera10/happybirthday-papel-picado,J,Information and communication,low,"The repository lacks a description and clear functionality. The README is a personal introduction without project details. The project name suggests a decorative or celebratory theme but no concrete application is provided. Given the absence of specific industry application and the general-purpose nature implied, it is classified under Information and communication."
179690263,android-recyclerview-and-adapters,emedinaa/android-recyclerview-and-adapters,J,Information and communication,high,"The repository provides sample code for Android UI components (RecyclerView, ListView, Adapters) in Kotlin, which are general-purpose software development tools used in mobile app development. It is not specific to any particular industry domain, so it best fits under Information and communication as a software development resource."
743754719,apuntes-pos-react,Franklin369/apuntes-pos-react,J,Information and communication,low,"The repository has no description, no README, no topics, and only JavaScript code, making it impossible to determine its specific application or industry. Without any contextual information, it is classified as a generic software project under Information and communication."
231997151,zsh-notify,luismayta/zsh-notify,J,Information and communication,high,"The repository is a zsh plugin that provides command completion notifications with sounds, which is a developer productivity and shell enhancement tool. It is a general-purpose software utility related to information technology and communication rather than a domain-specific application."
565275616,DOXING_PE,edgarluck/DOXING_PE,J,Information and communication,high,"The repository is a Python tool for querying and managing personal information based on Peruvian DNI numbers, functioning as an information lookup platform. It involves API usage, databases, and user authentication, aligning with information services and communication technologies rather than a specific traditional industry sector."
335757404,hamamatsu,tiagocoutinho/hamamatsu,M,"Professional, scientific activities",high,"The repository is a Python library designed to control Hamamatsu scientific cameras, which are specialized hardware used primarily in scientific research and professional laboratory environments. The inclusion of plugins like lima and tango, which are used in scientific instrumentation control, further supports its application in scientific and professional activities rather than general-purpose computing or other industries."
763099980,galeriadefotos,mabelolivera10/galeriadefotos,J,Information and communication,medium,"The repository named 'galeriadefotos' appears to be related to a photo gallery, likely a web-based project given the use of CSS. There is no specific description or topics, and the README focuses on the author's profile rather than the project itself. Given the general nature and lack of domain-specific indicators, it is classified under Information and communication as a general-purpose or web-related software project."
120071125,uEControls,mriscoc/uEControls,M,"Professional, scientific activities",high,"The repository provides a set of instrumentation controls for the Lazarus IDE, which are specialized software components likely used in scientific, engineering, or professional instrumentation applications. This aligns well with professional and scientific activities rather than general-purpose software, indicating a high confidence classification in this industry."
637427024,Curso-Hacking-Etico-con-Python,apholdings/Curso-Hacking-Etico-con-Python,P,Education,high,"The repository is course material for Ethical Hacking with Python, indicating its primary use is educational. It serves learners or instructors in the cybersecurity domain, fitting clearly within the Education industry."
650705179,solopython_backend,apholdings/solopython_backend,P,Education,high,"The repository is a backend for SoloPython Academy, which indicates it serves an educational platform focused on teaching Python. This aligns directly with the Education industry."
629807406,022_SistemaVentaAspMVC,CodigoEstudiante/022_SistemaVentaAspMVC,G,Wholesale and retail trade,medium,"The repository name '022_SistemaVentaAspMVC' suggests it is a sales system ('SistemaVenta'), likely related to point of sale or retail sales management. Despite the lack of description and README, the naming implies an application for managing sales, which fits best under wholesale and retail trade."
278970519,zsh-nvim,luismayta/zsh-nvim,J,Information and communication,high,"The repository is a shell plugin related to zsh and nvim, tools commonly used in software development and IT environments. It serves as a configuration or enhancement for developer tools, which falls under the Information and communication industry. There is no indication of a specific vertical industry application, making it a general-purpose tool for IT professionals."
1106789763,physical_simulations,jorgemunozl/physical_simulations,M,"Professional, scientific activities",high,"The repository contains physics and mathematics simulations, experiments, and visualizations primarily focused on scientific concepts such as stochastic processes, numerical integration, optics, quantum models, and mathematical physics. These are typical tools and research aids used in professional scientific and research activities rather than commercial or industrial applications. Therefore, it best fits the 'Professional, scientific activities' industry category."
